det,des,id,img_idx,ttc_lidar,ttc_camera,ttc_diff
AKAZE,SIFT,430,17,9.61241,9.44068,0.171739
AKAZE,SIFT,431,18,8.3988,12.543,-4.14418
SIFT,BRISK,432,1,12.5156,11.8111,0.704489
SIFT,BRISK,433,2,12.6142,13.8283,-1.21403
SIFT,BRISK,434,3,14.091,13.6642,0.426794
SIFT,BRISK,435,4,16.6894,19.6817,-2.99227
SIFT,BRISK,436,5,15.7465,15.5412,0.205388
SIFT,BRISK,437,6,12.7835,10.9071,1.87638
SIFT,BRISK,438,7,0,0,0
SIFT,BRISK,439,8,13.1241,15.5233,-2.39922
SIFT,BRISK,440,9,0,0,0
SIFT,BRISK,441,10,0,0,0
SIFT,BRISK,442,11,12.8086,12.814,-0.00542275
SIFT,BRISK,443,12,8.95978,9.78798,-0.828198
SIFT,BRISK,444,13,0,0,0
SIFT,BRISK,445,14,0,0,0
SIFT,BRISK,446,15,0,0,0
SIFT,BRISK,447,16,0,0,0
SIFT,BRISK,448,17,0,0,0
SIFT,BRISK,449,18,0,0,0
SIFT,ORB,450,1,12.5156,12.0017,0.513889
SIFT,ORB,451,2,12.6142,15.2248,-2.61057
SIFT,ORB,452,3,14.091,14.9252,-0.83419
SIFT,ORB,453,4,16.6894,21.1469,-4.4575
SIFT,ORB,454,5,15.7465,14.7373,1.00926
SIFT,ORB,455,6,12.7835,12.619,0.164471
SIFT,ORB,456,7,0,0,0
SIFT,ORB,457,8,13.1241,15.2917,-2.16762
SIFT,ORB,458,9,0,0,0
SIFT,ORB,459,10,11.1746,11.6701,-0.495487
SIFT,ORB,460,11,12.8086,10.2888,2.51982
SIFT,ORB,461,12,8.95978,11.16,-2.20018
SIFT,ORB,462,13,0,0,0
SIFT,ORB,463,14,0,0,0
SIFT,ORB,464,15,0,0,0
SIFT,ORB,465,16,0,0,0
SIFT,ORB,466,17,9.61241,13.438,-3.82557
SIFT,ORB,467,18,0,0,0
SIFT,FREAK,468,1,12.5156,11.7116,0.804047
SIFT,FREAK,469,2,12.6142,15.147,-2.53279
SIFT,FREAK,470,3,14.091,15.0874,-0.996415
SIFT,FREAK,471,4,16.6894,20.5177,-3.82832
SIFT,FREAK,472,5,15.7465,14.9918,0.754751
SIFT,FREAK,473,6,12.7835,12.7727,0.0108352
SIFT,FREAK,474,7,0,0,0
SIFT,FREAK,475,8,13.1241,15.2235,-2.0994
SIFT,FREAK,476,9,0,0,0
SIFT,FREAK,477,10,11.1746,11.3856,-0.21098
SIFT,FREAK,478,11,12.8086,11.2954,1.51316
SIFT,FREAK,479,12,8.95978,11.2114,-2.25162
SIFT,FREAK,480,13,0,0,0
SIFT,FREAK,481,14,0,0,0
SIFT,FREAK,482,15,0,0,0
SIFT,FREAK,483,16,0,0,0
SIFT,FREAK,484,17,9.61241,8.9468,0.665614
SIFT,FREAK,485,18,0,0,0
SIFT,AKAZE,486,1,12.5156,12.2055,0.310091
